order_total,number_of_items,average_item_price,is_new_user,account_age_days,shipping_distance,billing_shipping_match,order_hour,is_night_order,orders_in_last_hour,is_fraud
108.14,2,54.07,0,67,15.05,1,9,0,0,0
146.17,3,48.72,0,299,33.99,1,19,0,0,0
121.2,3,40.4,0,74,37.14,1,18,0,0,0
15.9,3,5.3,0,248,1.0,1,19,0,0,0
102.85,7,14.69,0,476,27.42,1,12,0,2,0
111.26,6,18.54,0,57,9.91,1,21,0,0,0
81.24,3,27.08,0,161,13.01,1,10,0,0,0
150.3,3,50.1,0,81,37.99,1,17,0,0,0
23.15,5,4.63,0,46,4.81,1,10,0,0,0
224.48,5,44.9,0,550,15.88,1,17,0,0,0
96.17,4,24.04,0,221,24.38,1,15,0,0,0
166.33,8,20.79,0,33,18.5,1,8,0,0,0
82.18,3,27.39,0,459,9.88,1,11,0,0,0
77.09,5,15.42,0,275,23.55,1,15,0,1,0
180.37,4,45.09,0,296,35.27,1,7,0,0,0
190.66,4,47.66,0,139,1.0,1,11,0,2,0
24.14,3,8.05,0,163,20.2,1,14,0,0,0
104.9,3,34.97,0,134,24.33,1,6,0,0,0
139.88,2,69.94,0,97,39.63,1,19,0,0,0
209.42,4,52.35,0,48,7.56,1,22,0,0,0
52.9,3,17.63,0,218,26.65,1,15,0,0,0
70.26,6,11.71,0,268,42.84,1,18,0,0,0
134.48,3,44.83,0,129,1.63,1,10,0,0,0
143.75,4,35.94,0,423,28.95,1,10,0,1,0
135.44,3,45.15,0,483,27.87,1,6,0,0,0
109.21,7,15.6,0,102,27.43,1,19,0,1,0
130.48,4,32.62,0,88,14.98,1,21,0,0,0
37.14,3,12.38,0,38,34.79,1,8,0,0,0
80.13,4,20.03,0,137,9.59,1,17,0,0,0
19.45,1,19.45,0,98,62.32,1,7,0,0,0
106.54,6,17.76,0,110,23.96,1,19,0,0,0
231.36,5,46.27,0,162,6.19,1,20,0,1,0
116.04,5,23.21,0,280,18.03,1,11,0,0,0
53.4,2,26.7,0,79,42.21,1,13,0,0,0
61.01,3,20.34,0,195,9.84,1,16,0,0,0
121.8,5,24.36,0,52,21.13,1,6,0,0,0
165.68,5,33.14,0,271,7.81,1,19,0,0,0
93.09,2,46.55,0,35,27.56,1,15,0,1,0
